Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,MAE,MSE,RMSE,R2
AIO,"(37.895835876464844, 15.333335876464844)",15,200,40,0.2150668531625386,0.09535194967008578,0.3087911100891439,0.340018275690398
AIO,"(37.9375, 15.375)",15,200,40,0.20633547426636925,0.08602215816081504,0.29329534288974834,0.34814763662331216
AIO,"(37.895835876464844, 15.375)",15,200,40,0.21590915931835067,0.09573321661174766,0.30940784833573254,0.3528513444330502
AIO,"(37.85416793823242, 15.333335876464844)",15,200,40,0.2181060778313323,0.09862018400292148,0.31403850719763887,0.341799301028497
AIO,"(37.97916793823242, 15.416667938232422)",15,200,40,0.19527435910666177,0.07560736580773733,0.2749679359629725,0.356817119744137
AIO,sea_mean,15,200,40,0.20922462758153082,0.08908393958366913,0.29846932771001633,0.3503099521951043
AIO,sea_median,15,200,40,0.21498143012650806,0.09498134101617975,0.30819042979330125,0.3437249798014119
AIO,sea_mode,15,200,40,0.19551485580336178,0.07623858942436075,0.27611336335708336,0.34738943932307353
CSLB,"(38.0625, 14.041667938232422)",15,200,40,0.13794181149051862,0.045136432884509414,0.21245336637603418,0.8702114778241594
CSLB,"(38.0625, 14.083335876464844)",15,200,40,0.13882910794428477,0.045920041330904694,0.21428962021270348,0.8693274998873673
CSLB,"(38.0625, 14.0)",15,200,40,0.13708269241700236,0.044285555972139616,0.21044133617742408,0.8708099712959051
CSLB,"(38.0625, 14.125)",15,200,40,0.13973349227510962,0.04664522593929099,0.2159750586046708,0.8682415956064505
CSLB,"(38.020835876464844, 13.916667938232422)",15,200,40,0.13378505220674156,0.04148490827301148,0.20367844331939372,0.8557952799375698
CSLB,sea_mean,15,200,40,0.1367937397567728,0.044309353167776434,0.21049786974640963,0.8680372521994684
CSLB,sea_median,15,200,40,0.13800361370838646,0.04531337445564087,0.212869383556304,0.8693485632807286
CSLB,sea_mode,15,200,40,0.1348405533886106,0.042012580497725924,0.20496970629272493,0.8547169103525376
HAGA,"(37.3125, 15.166667938232422)",15,200,40,0.15396652884093,0.06320810024280064,0.25141221180125806,0.6386890535373824
HAGA,"(37.3125, 15.125)",15,200,40,0.15222952642008022,0.060106338304107595,0.24516594034267403,0.615067731012023
HAGA,"(37.3125, 15.208335876464844)",15,200,40,0.16235287569439338,0.07179199341955454,0.2679402795765402,0.6547525038366545
HAGA,"(37.35416793823242, 15.166667938232422)",15,200,40,0.16214812540046256,0.06976893575429763,0.2641380997779336,0.6428185603210128
HAGA,"(37.35416793823242, 15.125)",15,200,40,0.15881641423132423,0.06551615691534977,0.25596124104119705,0.6246485515751521
HAGA,sea_mean,15,200,40,0.15643132139573646,0.06506392792871794,0.2550763178515754,0.6389127329063131
HAGA,sea_median,15,200,40,0.15714235829774076,0.06535380563257806,0.2556439039613072,0.6387805661564928
