,Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2,Station_Target
0,AIO,"(37.895835876464844, 15.333335876464844)",10,100,sqrt,2,1,0.1910595663440683,0.0730343964550059,0.2702487677215309,0.4944688546831199,"AIO_(37.895835876464844, 15.333335876464844)"
1,AIO,"(37.9375, 15.375)",10,100,sqrt,2,1,0.1857000766952921,0.0686726289058874,0.2620546296211678,0.5011956525003347,"AIO_(37.9375, 15.375)"
2,AIO,"(37.895835876464844, 15.375)",10,100,sqrt,2,1,0.191704239570474,0.0729434805074634,0.2700805074555796,0.5116035862447338,"AIO_(37.895835876464844, 15.375)"
3,AIO,"(37.85416793823242, 15.333335876464844)",10,100,sqrt,2,1,0.1924052290524336,0.0739860511676887,0.272003770502706,0.5027689999491635,"AIO_(37.85416793823242, 15.333335876464844)"
4,AIO,"(37.97916793823242, 15.416667938232422)",10,100,sqrt,2,1,0.1783388588689992,0.0631993821688836,0.251394872996415,0.5068748843482729,"AIO_(37.97916793823242, 15.416667938232422)"
5,AIO,sea_mean,10,100,sqrt,2,1,0.1868797419479313,0.0695814523962855,0.2637829645680052,0.5061594942796359,AIO_sea_mean
6,AIO,sea_median,10,100,sqrt,2,1,0.1912927523076749,0.0729752684745097,0.2701393501038117,0.4965928761038743,AIO_sea_median
8,AIO,"(37.895835876464844, 15.333335876464844)",10,100,sqrt,2,3,0.1903389584266156,0.0727305015050009,0.2696859312329824,0.4965723616550261,"AIO_(37.895835876464844, 15.333335876464844)"
9,AIO,"(37.9375, 15.375)",10,100,sqrt,2,3,0.1849632516160328,0.0684822056234432,0.2616910499490635,0.502578793974043,"AIO_(37.9375, 15.375)"
10,AIO,"(37.895835876464844, 15.375)",10,100,sqrt,2,3,0.1909614700787987,0.0726502636344867,0.2695371284897254,0.5135668332438904,"AIO_(37.895835876464844, 15.375)"
11,AIO,"(37.85416793823242, 15.333335876464844)",10,100,sqrt,2,3,0.1916430587219698,0.0735722591258213,0.2712420673970417,0.5055499326728807,"AIO_(37.85416793823242, 15.333335876464844)"
12,AIO,"(37.97916793823242, 15.416667938232422)",10,100,sqrt,2,3,0.1777018223912869,0.0630559709463928,0.2511094800010401,0.5079938774974082,"AIO_(37.97916793823242, 15.416667938232422)"
13,AIO,sea_mean,10,100,sqrt,2,3,0.1861208873014935,0.0693190554545618,0.2632851219772242,0.5080218043340781,AIO_sea_mean
14,AIO,sea_median,10,100,sqrt,2,3,0.1906363983659968,0.0726851984210962,0.2696019258482702,0.4985938736249496,AIO_sea_median
16,AIO,"(37.895835876464844, 15.333335876464844)",10,100,sqrt,2,5,0.1917738630978208,0.0734610824551723,0.271037049967661,0.4915154098293968,"AIO_(37.895835876464844, 15.333335876464844)"
17,AIO,"(37.9375, 15.375)",10,100,sqrt,2,5,0.1862962892074405,0.069171003239347,0.2630038084122492,0.49757570539517,"AIO_(37.9375, 15.375)"
18,AIO,"(37.895835876464844, 15.375)",10,100,sqrt,2,5,0.1921492785342784,0.0733424516030883,0.2708181153525153,0.5089322570054431,"AIO_(37.895835876464844, 15.375)"
19,AIO,"(37.85416793823242, 15.333335876464844)",10,100,sqrt,2,5,0.1929536717913569,0.0742029506960882,0.2724021855567393,0.5013113039684417,"AIO_(37.85416793823242, 15.333335876464844)"
20,AIO,"(37.97916793823242, 15.416667938232422)",10,100,sqrt,2,5,0.1787695379793513,0.0636776116646926,0.2523442324775676,0.503143408385443,"AIO_(37.97916793823242, 15.416667938232422)"
21,AIO,sea_mean,10,100,sqrt,2,5,0.1874249037050947,0.0699972252829026,0.2645698873320669,0.5032086289912482,AIO_sea_mean
22,AIO,sea_median,10,100,sqrt,2,5,0.1920118401109894,0.0734504117826628,0.2710173643563504,0.4933151831101258,AIO_sea_median
24,AIO,"(37.895835876464844, 15.333335876464844)",10,100,log2,2,1,0.1901833153920446,0.0728462906165019,0.2699005198522262,0.4957708899513692,"AIO_(37.895835876464844, 15.333335876464844)"
25,AIO,"(37.9375, 15.375)",10,100,log2,2,1,0.1850511320659048,0.0685334801733565,0.2617889993360236,0.5022063607525349,"AIO_(37.9375, 15.375)"
26,AIO,"(37.895835876464844, 15.375)",10,100,log2,2,1,0.1907909921129103,0.0726801850226523,0.2695926279085768,0.5133664932193536,"AIO_(37.895835876464844, 15.375)"
27,AIO,"(37.85416793823242, 15.333335876464844)",10,100,log2,2,1,0.1915264326345599,0.0737067970485085,0.2714899575463308,0.5046457564830892,"AIO_(37.85416793823242, 15.333335876464844)"
28,AIO,"(37.97916793823242, 15.416667938232422)",10,100,log2,2,1,0.1778099878751796,0.0630116461363026,0.251021206546982,0.5083397301996316,"AIO_(37.97916793823242, 15.416667938232422)"
29,AIO,sea_mean,10,100,log2,2,1,0.1861031487612514,0.0693799807045931,0.2634007986028007,0.5075893995013179,AIO_sea_mean
30,AIO,sea_median,10,100,log2,2,1,0.1904691133431572,0.072793330486759,0.2698023915512222,0.4978479434856824,AIO_sea_median
32,AIO,"(37.895835876464844, 15.333335876464844)",10,100,log2,2,3,0.1916077391480048,0.0735538964722327,0.2712082160854143,0.4908729676566199,"AIO_(37.895835876464844, 15.333335876464844)"
33,AIO,"(37.9375, 15.375)",10,100,log2,2,3,0.186467648707711,0.0692530820170126,0.2631598031938248,0.4969795253480491,"AIO_(37.9375, 15.375)"
34,AIO,"(37.895835876464844, 15.375)",10,100,log2,2,3,0.1921484119150676,0.0734441336822808,0.271005781639951,0.5082514399882772,"AIO_(37.895835876464844, 15.375)"
35,AIO,"(37.85416793823242, 15.333335876464844)",10,100,log2,2,3,0.1928407307039867,0.0743158739267485,0.2726093797482921,0.5005523915785517,"AIO_(37.85416793823242, 15.333335876464844)"
36,AIO,"(37.97916793823242, 15.416667938232422)",10,100,log2,2,3,0.1792552953144672,0.0637065338866089,0.2524015330512256,0.5029177372864876,"AIO_(37.97916793823242, 15.416667938232422)"
37,AIO,sea_mean,10,100,log2,2,3,0.1874215277865937,0.0700921470808249,0.264749215448932,0.502534940428053,AIO_sea_mean
38,AIO,sea_median,10,100,log2,2,3,0.1918499276203952,0.0735122263480461,0.2711313820789583,0.4928887661441454,AIO_sea_median
40,AIO,"(37.895835876464844, 15.333335876464844)",10,100,log2,2,5,0.189715366699256,0.0716667827537228,0.2677065235546622,0.5039352342839512,"AIO_(37.895835876464844, 15.333335876464844)"
41,AIO,"(37.9375, 15.375)",10,100,log2,2,5,0.1846513837365151,0.0675383118166724,0.2598813418017393,0.5094347763631912,"AIO_(37.9375, 15.375)"
42,AIO,"(37.895835876464844, 15.375)",10,100,log2,2,5,0.190349325747097,0.0715696034649051,0.2675249585831294,0.5208024428917988,"AIO_(37.895835876464844, 15.375)"
43,AIO,"(37.85416793823242, 15.333335876464844)",10,100,log2,2,5,0.1907680153345634,0.0723989304771997,0.2690704935090425,0.5134354106533193,"AIO_(37.85416793823242, 15.333335876464844)"
44,AIO,"(37.97916793823242, 15.416667938232422)",10,100,log2,2,5,0.1775444216177096,0.0622393988076607,0.2494782531758244,0.5143653358334117,"AIO_(37.97916793823242, 15.416667938232422)"
45,AIO,sea_mean,10,100,log2,2,5,0.1856745464531674,0.068321301698154,0.2613834380716461,0.5151031629818188,AIO_sea_mean
46,AIO,sea_median,10,100,log2,2,5,0.1900597104508025,0.0716380381984112,0.2676528314784121,0.5058175252398032,AIO_sea_median
48,AIO,"(37.895835876464844, 15.333335876464844)",10,100,0.5,2,1,0.1961635843998383,0.0775846852235611,0.2785402757655725,0.4629725624654193,"AIO_(37.895835876464844, 15.333335876464844)"
49,AIO,"(37.9375, 15.375)",10,100,0.5,2,1,0.1905806583067026,0.073055513218944,0.2702878340194838,0.4693605271414847,"AIO_(37.9375, 15.375)"
50,AIO,"(37.895835876464844, 15.375)",10,100,0.5,2,1,0.1967200543644769,0.0775798155333194,0.2785315341811757,0.4805607927854285,"AIO_(37.895835876464844, 15.375)"
51,AIO,"(37.85416793823242, 15.333335876464844)",10,100,0.5,2,1,0.1974746189927436,0.0785895835915165,0.280338337712694,0.4718304785016778,"AIO_(37.85416793823242, 15.333335876464844)"
52,AIO,"(37.97916793823242, 15.416667938232422)",10,100,0.5,2,1,0.1826526454223284,0.0672333615432397,0.2592939674254682,0.475398998394194,"AIO_(37.97916793823242, 15.416667938232422)"
53,AIO,sea_mean,10,100,0.5,2,1,0.1918585342771974,0.074024747411883,0.2720748930200709,0.4746240925022996,AIO_sea_mean
54,AIO,sea_median,10,100,0.5,2,1,0.1963793105819921,0.0775384231946129,0.278457219684843,0.4651147515068738,AIO_sea_median
56,AIO,"(37.895835876464844, 15.333335876464844)",10,100,0.5,2,3,0.1937623341394387,0.075372111426705,0.2745398175615061,0.4782876060601435,"AIO_(37.895835876464844, 15.333335876464844)"
57,AIO,"(37.9375, 15.375)",10,100,0.5,2,3,0.1882255660830866,0.070771728483186,0.2660295631751969,0.4859488210964257,"AIO_(37.9375, 15.375)"
58,AIO,"(37.895835876464844, 15.375)",10,100,0.5,2,3,0.1942660620082875,0.0753712427430108,0.2745382354846238,0.4953483930315376,"AIO_(37.895835876464844, 15.375)"
