Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2
AIO,"(37.895835876464844, 15.333335876464844)",30,300,sqrt,2,1,0.18000342948545267,0.07276223630080593,0.26974476139640957,0.5561365702418695
AIO,"(37.9375, 15.375)",30,300,sqrt,2,1,0.17405932175757793,0.06491787717137779,0.2547898686592106,0.5534104711887569
AIO,"(37.895835876464844, 15.375)",30,300,sqrt,2,1,0.1773491245778188,0.0696513201116718,0.26391536543307176,0.5838530118192333
AIO,"(37.85416793823242, 15.333335876464844)",30,300,sqrt,2,1,0.18011289071302888,0.07389658179406156,0.27183925727175895,0.5766807039308851
AIO,"(37.97916793823242, 15.416667938232422)",30,300,sqrt,2,1,0.16568783726483344,0.05609965675083083,0.2368536610458678,0.548551443136979
AIO,sea_mean,30,300,sqrt,2,1,0.17388695690188583,0.06621324293443766,0.25731934038163096,0.569123553412669
AIO,sea_median,30,300,sqrt,2,1,0.17979455674063266,0.07203379064139451,0.2683911150567293,0.5599494498897961
AIO,sea_mode,30,300,sqrt,2,1,0.1661338207247144,0.0573551301149889,0.23948931106625385,0.5430201759594967
AIO,"(37.895835876464844, 15.333335876464844)",30,300,sqrt,5,1,0.17972962160242184,0.07280538666877764,0.2698247332413722,0.5558733448203188
AIO,"(37.9375, 15.375)",30,300,sqrt,5,1,0.1738567718135719,0.06489220008784304,0.2547394749304533,0.5535871115401776
AIO,"(37.895835876464844, 15.375)",30,300,sqrt,5,1,0.17693422244859291,0.06967173370563885,0.26395403710805193,0.5837310463542038
AIO,"(37.85416793823242, 15.333335876464844)",30,300,sqrt,5,1,0.1797190475811188,0.07392523588876461,0.27189195627815954,0.5765165578918572
AIO,"(37.97916793823242, 15.416667938232422)",30,300,sqrt,5,1,0.16522569146985422,0.055961356584630625,0.23656152811611322,0.5496643806139819
AIO,sea_mean,30,300,sqrt,5,1,0.17360304291091605,0.0662008926196511,0.2572953412319218,0.5692039219237647
AIO,sea_median,30,300,sqrt,5,1,0.17946926587905992,0.07207773094934422,0.2684729613002848,0.5596810209134351
AIO,sea_mode,30,300,sqrt,5,1,0.16585727762644764,0.057231146838769426,0.23923032173779607,0.5440080188191877
AIO,"(37.895835876464844, 15.333335876464844)",30,300,sqrt,10,1,0.18052337160836068,0.07267671599867352,0.26958619400606093,0.5566582602908328
AIO,"(37.9375, 15.375)",30,300,sqrt,10,1,0.17456201147497885,0.06483966895521119,0.2546363464928194,0.5539484889417836
AIO,"(37.895835876464844, 15.375)",30,300,sqrt,10,1,0.17784656896945697,0.06958135415116325,0.2637827783445372,0.5842710386950214
AIO,"(37.85416793823242, 15.333335876464844)",30,300,sqrt,10,1,0.18053910371530096,0.0737880013070448,0.271639469346862,0.5773027112580829
AIO,"(37.97916793823242, 15.416667938232422)",30,300,sqrt,10,1,0.1658056108751663,0.05596033989622686,0.2365593792184678,0.5496725621705054
AIO,sea_mean,30,300,sqrt,10,1,0.17443636309310562,0.06611992782729556,0.25713795485555135,0.5697307926898346
AIO,sea_median,30,300,sqrt,10,1,0.18028800283696733,0.07193590851521033,0.2682087032801328,0.5605474065305585
AIO,sea_mode,30,300,sqrt,10,1,0.16646637859017613,0.05725159288234247,0.2392730508902799,0.5438451139600129
AIO,"(37.895835876464844, 15.333335876464844)",30,300,sqrt,2,3,0.17994063225307244,0.07280103426285815,0.2698166678744257,0.5558998953212014
AIO,"(37.9375, 15.375)",30,300,sqrt,2,3,0.17399646096969174,0.06493439722691588,0.2548222855774508,0.553296824776703
AIO,"(37.895835876464844, 15.375)",30,300,sqrt,2,3,0.17712387803005314,0.06968864679424952,0.26398607310661204,0.5836299954211436
AIO,"(37.85416793823242, 15.333335876464844)",30,300,sqrt,2,3,0.17995238720975454,0.0738902253083117,0.27182756539451935,0.5767171172940986
AIO,"(37.97916793823242, 15.416667938232422)",30,300,sqrt,2,3,0.16528721522560372,0.056045066141409895,0.23673839177752706,0.5489907479967363
AIO,sea_mean,30,300,sqrt,2,3,0.17374854049560248,0.06622133139316072,0.25733505667351414,0.5690709185287921
AIO,sea_median,30,300,sqrt,2,3,0.17969465409578014,0.07206965807819254,0.26845792608562064,0.5597303376488121
AIO,sea_mode,30,300,sqrt,2,3,0.16588922289860517,0.057272530978436466,0.23931680045169512,0.5436782886481429
AIO,"(37.895835876464844, 15.333335876464844)",30,300,sqrt,5,3,0.18005194572577984,0.07264230660674573,0.26952236754441317,0.5568681641021151
AIO,"(37.9375, 15.375)",30,300,sqrt,5,3,0.17407748402382223,0.06493032902634605,0.2548143030254504,0.5533248111474032
AIO,"(37.895835876464844, 15.375)",30,300,sqrt,5,3,0.17723339150820033,0.06951793032101952,0.2636625311283716,0.5846499781874945
AIO,"(37.85416793823242, 15.333335876464844)",30,300,sqrt,5,3,0.18003578081963906,0.07361344645385774,0.27131798033646376,0.578302655176768
